Ldi|date/time conversion
Lpx|xml parser
LpxFSM|FSM parser
OCILobCreateTemporary|DBMS_LOB.KKXL_CREATETEMPORARY
OCILobFileCloseAll|DBMS_LOB.KKXL_FILECLOSEALL
OCILobFileExists|DBMS_LOB.KKXL_FILEEXISTS
OCILobFileGetName|DBMS_LOB.KKXL_FILEGETNAME
OCILobFileIsOpen|DBMS_LOB.KKXL_FILEISOPEN
OCILobFreeTemporary|DBMS_LOB.KKXL_FREETEMPORARY
OCILobGetChunkSize|DBMS_LOB.KKXL_GETCHUNKSIZE
OCILobGetLength|DBMS_LOB.KKXL_GETLENGTH
OCILobGetOptions|DBMS_LOB.KKXL_GETOPTIONS
OCILobIsOpen|DBMS_LOB.KKXL_ISOPEN
OCILobIsTemporary|DBMS_LOB.KKXL_ISTEMPORARY
OCILobLoadFromFile|DBMS_LOB.KKXL_LOADFROMFILE
OCILobSetOptions|DBMS_LOB.KKXL_SETOPTIONS
OCIStmtExecute|execute
adbdrv|alter database driver
ain|alter index
aop|audit options
apa|SQL Access Path Analysis
apacb|connect by
apadrv|drive access path selection for a sql command
apakkoqb|drive access path analysis for every query block
apaqbd|drive access path analysis for every query block
atb|alter table
aud|audit
audbeg|begin
audend|end (commit) transaction
auddel|delete
auddft|default function
audfro|top level objects
audins|insert audit record
audtar|audit create/alter/drop tablespace,rollback segment and alter system
aus|audit statement
ausdrv|driver
bam|PLSQL_KG_Interface
csy|create synonym
ctc|create table or cluster
ctccom_cleanup_online_move|DBMS_PART.CLEANUP_ONLINE_OP_INTERNAL
ctcdrv|driver
cur|cursor manipulation
cvw|create view
dbga|Unified Tracing Service
dbgc|diagnostic framework
dbgd|diagnostic events
dbge|diagnostic data extractor
dbgeEndDDEInvocation|Explicitly end a DDE invocation
dbgeEndDDEInvocationImpl|(internal)
dbgePostErrorKGE|Post the error for DDE invocation from KGE
dbgexExplicitEndInc|explicitly end a split error processing
dbgexPhaseII|phase 2
dbgexProcessError|process error
dbgf|diagnostic inter library compile-time service
dbgr|automatic diagnostic repository
dbgrl|diagnostic arb alert log
dbgrlr|diagnostic arb alert log
dbgre|export/import services
dbgrf|directory and file services
dbgri|incident metadata services
dbgrm|meta-data repository
dbgt|diagnostic component test parent
dbgtf|directory and file services
dbgtn|UTS viewer toolkit
dbgtp|UTS viewer toolkit
dbgv|diagnostic viewer toolkit
dbgvci|for command line
dbgvf|for traces and files
dbgvl|parser
dbgvm|for ams metadata
dbgvp|parser
dbgxtk|xml toolkit
dbkd|RDBMS events
dbke|RDBMS diagnostic data extractor
dbkePostKGE_kgsf|Post KGE error for KGSF
dbked|Dumper
dbkedDefDump|do DDE default dump
dbkgc|generic configuration
dbkh|health monitor
dbkhicd_create_offl_dict|DBMS_HM.DBKHICD_CREATE_OFFL_DICT CREATE_OFFLINE_DICTIONARY
dbkhicd_create_schema|DBMS_HM.DBKHICD_CREATE_SCHEMA CREATE_SCHEMA
dbkhicd_drop_schema|DBMS_HM.DBKHICD_DROP_SCHEMA DROP_SCHEMA
dbkhicd_get_run_report|DBMS_HM.DBKHICD_GET_RUN_REPORT GET_RUN_REPORT
dbkhicd_isTraceEnabled|DBMS_HM.DBKHICD_ISTRACEENABLED
dbkhicd_run_dde_action|DBMS_HM.DBKHICD_RUN_DDE_ACTION RUN_DDE_ACTION
dbkhicd_run_check|DBMS_HM.DBKHICD_RUN_CHECK RUN_CHECK
dbkhicd_writeToTrace|DBMS_HM.DBKHICD_WRITETOTRACE SENDTRACEMSG
dbkiicd_addLine|DBMS_IR.DBKIICD_ADDLINE
dbkiicd_addToFailureSet|DBMS_IR.DBKIICD_ADDTOFAILURESET
dbkiicd_adviseDone|DBMS_IR.DBKIICD_ADVISEDONE
dbkiicd_beginFailureSet|DBMS_IR.DBKIICD_BEGINFAILURESET
dbkiicd_cancelFailureSet|DBMS_IR.DBKIICD_CANCELFAILURESET
dbkiicd_changePriority|DBMS_IR.DBKIICD_CHANGEPRIORITY
dbkiicd_cleanupAdvise|DBMS_IR.DBKIICD_CLEANUPADVISE
dbkiicd_closeFailure|DBMS_IR.DBKIICD_CLOSEFAILURE
dbkiicd_closeScriptFile|DBMS_IR.DBKIICD_CLOSESCRIPTFILE
dbkiicd_completeFailureSet|DBMS_IR.DBKIICD_COMPLETEFAILURESET
dbkiicd_completeRepairOption|DBMS_IR.DBKIICD_COMPLETEREPAIROPTION
dbkiicd_consolidateRepair|DBMS_IR.DBKIICD_CONSOLIDATEREPAIR
dbkiicd_createScriptFile|DBMS_IR.DBKIICD_CREATESCRIPTFILE
dbkiicd_createWorkingRepairSet|DBMS_IR.DBKIICD_CREATEWORKINGREPAIRSET
dbkiicd_getFeasAndImpact|DBMS_IR.DBKIICD_GETFEASANDIMPACT
dbkiicd_getLine|DBMS_IR.DBKIICD_GETFILE
dbkiicd_getRepairAdvice|DBMS_IR.DBKIICD_GETREPAIRADVICE
dbkiicd_isTraceEnabled|DBMS_IR.DBKIICD_STRACEENABLED
dbkiicd_openScriptFile|DBMS_IR.DBKIICD_OPENSCRIPTFILE
dbkiicd_reeval|DBMS_IR.DBKIICD_REEVAL
dbkiicd_startRepairOption|DBMS_IR.DBKIICD_STARTREPAIROPTION
dbkiicd_updateFeasAndImpact|DBMS_IR.DBKIICD_UPDATEFEASANDIMPACT
dbkiicd_updateRepairOption|DBMS_IR.DBKIICD_UPDATEREPAIROPTION
dbkiicd_writeToTrace|DBMS_IR.DBKIICD_WRITETOTRACE
dbkpls_get_location|DBMS_ADR_INTERNAL.GET_LOCATION
dbkpls_home_reserve_incids|DBMS_ADR_INTERNAL.RESERVE_INCIDS
dbkpls_incident_add_metadata|DBMS_ADR_INTERNAL.INCIDENT_ADD_METADATA
dbkpls_incident_create|DBMS_ADR_INTERNAL.INCIDENT_CREATE
dbkpls_run_purge|DBMS_ADR_INTERNAL.RUN_PURGE
dbkpls_set_tracefile_id|DBMS_ADR_INTERNAL.SET_TRACEFILE_IDENTIFIER
dbkpls_setup_client_home|DBMS_ADR_INTERNAL.CREATE_ADR_HOME
dbkpls_write_log|DBMS_ADR_INTERNAL.WRITE_LOG
dbkpls_write_trace|DBMS_ADR_INTERNAL.WRITE_TRACE
dbkr|RDBMS ADR
dbkripcs_cleanout_schema|DBMS_ADR.CLEANOUT_SCHEMA
dbkripds_downgrade_schema|DBMS_ADR.DOWNGRADE_SCHEMA
dbkripms_migrate_schema|DBMS_ADR.MIGRATE_SCHEMA
dbkriprs_recover_schema|DBMS_ADR.RECOVER_SCHEMA
dbkt|RDBMS UTS tracefile
del|delete
delexe|execute
delrow|row procedure used by KXRD to delete or lock a row
dgliaio|DBMS_INTERNAL_LOG_STDBY.APPLY_IS_OFF
dglias|DBMS_LOGSTDBY.IS_APPLY_SERVER
dglibld|DBMS_INTERNAL_LOG_STDBY.BUILD
dglicdscn|DBMS_INTERNAL_LOG_STDBY.CAPTURE_SCN
dglicfs|DBMS_INTERNAL_LOG_STDBY.CREATE_FUTURE_SESSION
dgliclin|DBMS_INTERNAL_LOG_STDBY.CLEAR_LOGICAL_INSTANTIATION
